station_id	stationname	date	daytype	rides
85	40590	Damen/Milwaukee	2017-12-24	U	1552
523	40590	Damen/Milwaukee	2017-12-28	W	3817
582	40590	Damen/Milwaukee	2017-12-16	A	4584
1258	40590	Damen/Milwaukee	2017-12-27	W	3383
1674	40590	Damen/Milwaukee	2017-12-29	W	4174
1686	40590	Damen/Milwaukee	2017-12-19	W	6572
1743	40590	Damen/Milwaukee	2017-12-11	W	6167
1934	40590	Damen/Milwaukee	2017-12-08	W	6741
2378	40590	Damen/Milwaukee	2017-12-20	W	6312
2417	40590	Damen/Milwaukee	2017-12-21	W	6250
2475	40590	Damen/Milwaukee	2017-12-13	W	6089
2504	40590	Damen/Milwaukee	2017-12-23	A	3295
2561	40590	Damen/Milwaukee	2017-12-02	A	4952
2665	40590	Damen/Milwaukee	2017-12-01	W	7448
2725	40590	Damen/Milwaukee	2017-12-07	W	6441
2804	40590	Damen/Milwaukee	2017-12-06	W	6334
2827	40590	Damen/Milwaukee	2017-12-31	U	2255
2842	40590	Damen/Milwaukee	2017-12-03	U	3702
2933	40590	Damen/Milwaukee	2017-12-25	U	614
3215	40590	Damen/Milwaukee	2017-12-15	W	6498
3294	40590	Damen/Milwaukee	2017-12-18	W	6245
3438	40590	Damen/Milwaukee	2017-12-04	W	6330
3527	40590	Damen/Milwaukee	2017-12-10	U	3152
3837	40590	Damen/Milwaukee	2017-12-22	W	5533
4038	40590	Damen/Milwaukee	2017-12-09	A	4225
4040	40590	Damen/Milwaukee	2017-12-05	W	6217
4110	40590	Damen/Milwaukee	2017-12-26	W	2256
4177	40590	Damen/Milwaukee	2017-12-12	W	6165
4302	40590	Damen/Milwaukee	2017-12-30	A	2687
4466	40590	Damen/Milwaukee	2017-12-14	W	6400
4480	40590	Damen/Milwaukee	2017-12-17	U	3166
4747	40590	Damen/Milwaukee	2018-03-09	W	6598
4843	40590	Damen/Milwaukee	2018-02-01	W	6024
5576	40590	Damen/Milwaukee	2018-01-14	U	2470
5907	40590	Damen/Milwaukee	2018-01-11	W	6094
6061	40590	Damen/Milwaukee	2018-03-06	W	6242
6182	40590	Damen/Milwaukee	2018-02-27	W	6297
6183	40590	Damen/Milwaukee	2018-03-28	W	6290
6267	40590	Damen/Milwaukee	2018-01-22	W	5929
6450	40590	Damen/Milwaukee	2018-01-21	U	2629
6471	40590	Damen/Milwaukee	2018-02-08	W	6060
6632	40590	Damen/Milwaukee	2018-01-30	W	5855
6694	40590	Damen/Milwaukee	2018-01-08	W	5845
6735	40590	Damen/Milwaukee	2018-03-17	A	6968
6984	40590	Damen/Milwaukee	2018-03-01	W	6111
7120	40590	Damen/Milwaukee	2018-02-03	A	3550
7433	40590	Damen/Milwaukee	2018-02-15	W	6330
7501	40590	Damen/Milwaukee	2018-01-10	W	5923
7955	40590	Damen/Milwaukee	2018-03-07	W	6551
8057	40590	Damen/Milwaukee	2018-01-04	W	5259
8202	40590	Damen/Milwaukee	2018-01-18	W	6140
8482	40590	Damen/Milwaukee	2018-03-04	U	3223
8606	40590	Damen/Milwaukee	2018-01-23	W	6143
8638	40590	Damen/Milwaukee	2018-03-24	A	3847
8791	40590	Damen/Milwaukee	2018-01-03	W	5221
8810	40590	Damen/Milwaukee	2018-02-02	W	5975
8879	40590	Damen/Milwaukee	2018-02-05	W	5418
9019	40590	Damen/Milwaukee	2018-01-20	A	4917
9068	40590	Damen/Milwaukee	2018-02-28	W	6337
9100	40590	Damen/Milwaukee	2018-03-02	W	6633
9266	40590	Damen/Milwaukee	2018-01-15	W	4162
9280	40590	Damen/Milwaukee	2018-01-24	W	6194
9365	40590	Damen/Milwaukee	2018-02-21	W	6333
9511	40590	Damen/Milwaukee	2018-02-14	W	6495
9617	40590	Damen/Milwaukee	2018-03-18	U	3881
9681	40590	Damen/Milwaukee	2018-02-12	W	5939
10124	40590	Damen/Milwaukee	2018-02-06	W	5891
10156	40590	Damen/Milwaukee	2018-02-18	U	3075
10729	40590	Damen/Milwaukee	2018-01-12	W	6027
10739	40590	Damen/Milwaukee	2018-02-11	U	2879
10847	40590	Damen/Milwaukee	2018-03-08	W	6424
10851	40590	Damen/Milwaukee	2018-01-19	W	6328
10912	40590	Damen/Milwaukee	2018-02-10	A	3896
10977	40590	Damen/Milwaukee	2018-01-06	A	2876
11160	40590	Damen/Milwaukee	2018-01-29	W	5793
11293	40590	Damen/Milwaukee	2018-03-30	W	6431
11443	40590	Damen/Milwaukee	2018-03-21	W	6480
11512	40590	Damen/Milwaukee	2018-03-15	W	6822
11570	40590	Damen/Milwaukee	2018-02-19	W	4785
