station_id	stationname	date	daytype	rides
61	40890	O'Hare Airport	2017-12-26	W	11094
539	40890	O'Hare Airport	2017-12-01	W	12447
672	40890	O'Hare Airport	2017-12-11	W	10136
858	40890	O'Hare Airport	2017-12-12	W	9406
1063	40890	O'Hare Airport	2017-12-25	U	7244
1278	40890	O'Hare Airport	2017-12-18	W	10813
1356	40890	O'Hare Airport	2017-12-29	W	10562
1544	40890	O'Hare Airport	2017-12-22	W	9493
1705	40890	O'Hare Airport	2017-12-31	U	7361
1954	40890	O'Hare Airport	2017-12-16	A	8450
1994	40890	O'Hare Airport	2017-12-10	U	8994
2104	40890	O'Hare Airport	2017-12-07	W	10554
2122	40890	O'Hare Airport	2017-12-24	U	6777
2369	40890	O'Hare Airport	2017-12-15	W	11057
2426	40890	O'Hare Airport	2017-12-03	U	9308
2691	40890	O'Hare Airport	2017-12-19	W	10193
2938	40890	O'Hare Airport	2017-12-27	W	11154
3035	40890	O'Hare Airport	2017-12-02	A	8542
3211	40890	O'Hare Airport	2017-12-06	W	9540
3250	40890	O'Hare Airport	2017-12-28	W	11141
3666	40890	O'Hare Airport	2017-12-17	U	9018
3709	40890	O'Hare Airport	2017-12-14	W	10629
3716	40890	O'Hare Airport	2017-12-30	A	8847
3737	40890	O'Hare Airport	2017-12-21	W	9558
3805	40890	O'Hare Airport	2017-12-13	W	9306
3824	40890	O'Hare Airport	2017-12-04	W	9785
3859	40890	O'Hare Airport	2017-12-20	W	9799
3958	40890	O'Hare Airport	2017-12-09	A	8033
3969	40890	O'Hare Airport	2017-12-08	W	11875
4335	40890	O'Hare Airport	2017-12-23	A	7578
4395	40890	O'Hare Airport	2017-12-05	W	9669
4677	40890	O'Hare Airport	2018-02-20	W	10017
4744	40890	O'Hare Airport	2018-03-22	W	10836
4846	40890	O'Hare Airport	2018-03-28	W	10298
5090	40890	O'Hare Airport	2018-01-12	W	8264
5206	40890	O'Hare Airport	2018-02-04	U	7315
5349	40890	O'Hare Airport	2018-01-07	U	7228
5666	40890	O'Hare Airport	2018-01-25	W	9090
5715	40890	O'Hare Airport	2018-01-16	W	7774
5851	40890	O'Hare Airport	2018-03-21	W	9427
5866	40890	O'Hare Airport	2018-01-14	U	6114
5914	40890	O'Hare Airport	2018-01-04	W	8278
5991	40890	O'Hare Airport	2018-02-12	W	10257
6141	40890	O'Hare Airport	2018-03-01	W	9506
6229	40890	O'Hare Airport	2018-02-26	W	10061
