station_id	stationname	date	daytype	rides
75	40350	UIC-Halsted	2017-12-08	W	7462
114	40350	UIC-Halsted	2017-12-30	A	837
398	40350	UIC-Halsted	2017-12-13	W	5828
569	40350	UIC-Halsted	2017-12-11	W	5614
579	40350	UIC-Halsted	2017-12-20	W	3072
760	40350	UIC-Halsted	2017-12-01	W	7718
959	40350	UIC-Halsted	2017-12-28	W	1575
1031	40350	UIC-Halsted	2017-12-04	W	7800
1187	40350	UIC-Halsted	2017-12-19	W	3306
1376	40350	UIC-Halsted	2017-12-06	W	7813
1471	40350	UIC-Halsted	2017-12-29	W	1472
1493	40350	UIC-Halsted	2017-12-17	U	1321
1567	40350	UIC-Halsted	2017-12-25	U	369
1852	40350	UIC-Halsted	2017-12-15	W	5217
1894	40350	UIC-Halsted	2017-12-27	W	1347
2054	40350	UIC-Halsted	2017-12-05	W	7731
2326	40350	UIC-Halsted	2017-12-02	A	2340
2534	40350	UIC-Halsted	2017-12-31	U	800
2884	40350	UIC-Halsted	2017-12-14	W	5493
2975	40350	UIC-Halsted	2017-12-09	A	1947
2996	40350	UIC-Halsted	2017-12-22	W	2334
3006	40350	UIC-Halsted	2017-12-24	U	659
3374	40350	UIC-Halsted	2017-12-07	W	7661
3486	40350	UIC-Halsted	2017-12-18	W	3216
3646	40350	UIC-Halsted	2017-12-16	A	1915
4074	40350	UIC-Halsted	2017-12-12	W	5553
4188	40350	UIC-Halsted	2017-12-26	W	1019
4191	40350	UIC-Halsted	2017-12-23	A	997
4225	40350	UIC-Halsted	2017-12-10	U	1285
4242	40350	UIC-Halsted	2017-12-21	W	2718
4423	40350	UIC-Halsted	2017-12-03	U	1645
4610	40350	UIC-Halsted	2018-03-07	W	7467
4645	40350	UIC-Halsted	2018-02-04	U	1085
4694	40350	UIC-Halsted	2018-02-13	W	7493
4842	40350	UIC-Halsted	2018-03-04	U	1397
5089	40350	UIC-Halsted	2018-03-08	W	7258
5186	40350	UIC-Halsted	2018-02-02	W	6829
5329	40350	UIC-Halsted	2018-01-20	A	2216
5465	40350	UIC-Halsted	2018-01-08	W	2800
5468	40350	UIC-Halsted	2018-03-23	W	6685
5499	40350	UIC-Halsted	2018-02-28	W	7501
5552	40350	UIC-Halsted	2018-03-01	W	7118
5948	40350	UIC-Halsted	2018-03-11	U	1376
6046	40350	UIC-Halsted	2018-01-18	W	7420
6155	40350	UIC-Halsted	2018-02-24	A	2185
6162	40350	UIC-Halsted	2018-03-20	W	7017
6252	40350	UIC-Halsted	2018-02-21	W	7634
6330	40350	UIC-Halsted	2018-01-10	W	3168
6744	40350	UIC-Halsted	2018-01-03	W	2249
6752	40350	UIC-Halsted	2018-03-25	U	1430
6793	40350	UIC-Halsted	2018-03-19	W	7067
6808	40350	UIC-Halsted	2018-01-14	U	1218
6827	40350	UIC-Halsted	2018-03-09	W	6909
6869	40350	UIC-Halsted	2018-02-03	A	1769
7083	40350	UIC-Halsted	2018-02-09	W	3640
7183	40350	UIC-Halsted	2018-01-22	W	7505
7504	40350	UIC-Halsted	2018-02-20	W	7203
7520	40350	UIC-Halsted	2018-03-10	A	2061
7679	40350	UIC-Halsted	2018-03-27	W	3200
7712	40350	UIC-Halsted	2018-03-30	W	2701
7848	40350	UIC-Halsted	2018-01-25	W	7505
7859	40350	UIC-Halsted	2018-03-12	W	7260
8525	40350	UIC-Halsted	2018-03-17	A	3027
8632	40350	UIC-Halsted	2018-03-28	W	3198
8648	40350	UIC-Halsted	2018-02-18	U	1362
9131	40350	UIC-Halsted	2018-03-18	U	1532
9695	40350	UIC-Halsted	2018-02-05	W	6982
9747	40350	UIC-Halsted	2018-02-08	W	7342
10097	40350	UIC-Halsted	2018-02-19	W	6488
10305	40350	UIC-Halsted	2018-03-29	W	3085
10476	40350	UIC-Halsted	2018-01-15	W	2004
10536	40350	UIC-Halsted	2018-03-22	W	7000
10853	40350	UIC-Halsted	2018-01-13	A	1361
10936	40350	UIC-Halsted	2018-01-30	W	7324
11497	40350	UIC-Halsted	2018-02-07	W	7438
11698	40350	UIC-Halsted	2018-01-16	W	7476
11767	40350	UIC-Halsted	2018-02-15	W	7412
11919	40350	UIC-Halsted	2018-03-21	W	7270
11955	40350	UIC-Halsted	2018-01-07	U	763
12168	40350	UIC-Halsted	2018-03-05	W	7054
12193	40350	UIC-Halsted	2018-03-03	A	1978
12226	40350	UIC-Halsted	2018-03-31	A	1399
12230	40350	UIC-Halsted	2018-02-01	W	7382
12330	40350	UIC-Halsted	2018-01-21	U	1293
12348	40350	UIC-Halsted	2018-02-22	W	7328
12817	40350	UIC-Halsted	2018-02-14	W	7881
13125	40350	UIC-Halsted	2018-03-15	W	7326
13244	40350	UIC-Halsted	2018-03-14	W	7550
13412	40350	UIC-Halsted	2018-02-26	W	7193
13650	40350	UIC-Halsted	2018-01-26	W	7355
13712	40350	UIC-Halsted	2018-01-23	W	7508
13790	40350	UIC-Halsted	2018-02-25	U	1468
13918	40350	UIC-Halsted	2018-02-12	W	7328
14192	40350	UIC-Halsted	2018-02-10	A	1861
14451	40350	UIC-Halsted	2018-03-02	W	6799
14726	40350	UIC-Halsted	2018-01-09	W	3019
14844	40350	UIC-Halsted	2018-03-13	W	7299
14948	40350	UIC-Halsted	2018-02-17	A	1976
15138	40350	UIC-Halsted	2018-02-27	W	7262
15145	40350	UIC-Halsted	2018-01-12	W	2845
15235	40350	UIC-Halsted	2018-02-23	W	7036
15260	40350	UIC-Halsted	2018-01-28	U	1276
15299	40350	UIC-Halsted	2018-01-31	W	7657
15336	40350	UIC-Halsted	2018-01-29	W	7366
15359	40350	UIC-Halsted	2018-01-19	W	7238
15431	40350	UIC-Halsted	2018-01-04	W	2293
15461	40350	UIC-Halsted	2018-03-24	A	1921
15466	40350	UIC-Halsted	2018-01-02	W	1936
15491	40350	UIC-Halsted	2018-01-27	A	2073
15545	40350	UIC-Halsted	2018-01-05	W	2209
15693	40350	UIC-Halsted	2018-01-17	W	7635
15822	40350	UIC-Halsted	2018-03-26	W	3007
16254	40350	UIC-Halsted	2018-02-11	U	1231
16326	40350	UIC-Halsted	2018-03-16	W	7166
16358	40350	UIC-Halsted	2018-03-06	W	7222
16415	40350	UIC-Halsted	2018-01-24	W	7619
16520	40350	UIC-Halsted	2018-01-01	U	657
17096	40350	UIC-Halsted	2018-01-06	A	998
17333	40350	UIC-Halsted	2018-02-16	W	7284
17394	40350	UIC-Halsted	2018-02-06	W	7290
17488	40350	UIC-Halsted	2018-01-11	W	3024
17599	40350	UIC-Halsted	2018-04-25	W	7331
17888	40350	UIC-Halsted	2018-05-20	U	1094
18078	40350	UIC-Halsted	2018-06-04	W	3195
18108	40350	UIC-Halsted	2018-04-11	W	7308
18357	40350	UIC-Halsted	2018-04-12	W	7150
18377	40350	UIC-Halsted	2018-06-21	W	3480
18506	40350	UIC-Halsted	2018-05-18	W	3089
18538	40350	UIC-Halsted	2018-04-24	W	7052
18613	40350	UIC-Halsted	2018-04-06	W	6692
18647	40350	UIC-Halsted	2018-06-27	W	3990
18828	40350	UIC-Halsted	2018-06-08	W	3605
18896	40350	UIC-Halsted	2018-04-04	W	7153
19147	40350	UIC-Halsted	2018-06-20	W	3986
19183	40350	UIC-Halsted	2018-06-11	W	3310
19516	40350	UIC-Halsted	2018-04-14	A	1999
19563	40350	UIC-Halsted	2018-04-08	U	1391
19658	40350	UIC-Halsted	2018-04-16	W	6789
20007	40350	UIC-Halsted	2018-06-15	W	3401
20107	40350	UIC-Halsted	2018-06-22	W	3429
20224	40350	UIC-Halsted	2018-06-09	A	1837
20594	40350	UIC-Halsted	2018-06-12	W	3688
20848	40350	UIC-Halsted	2018-05-11	W	5355
21042	40350	UIC-Halsted	2018-05-10	W	5448
21154	40350	UIC-Halsted	2018-05-29	W	3224
21268	40350	UIC-Halsted	2018-06-02	A	1499
21337	40350	UIC-Halsted	2018-05-21	W	3177
21395	40350	UIC-Halsted	2018-04-05	W	6915
21537	40350	UIC-Halsted	2018-04-26	W	7155
21562	40350	UIC-Halsted	2018-06-03	U	1177
21678	40350	UIC-Halsted	2018-06-19	W	3849
21742	40350	UIC-Halsted	2018-04-19	W	7158
22174	40350	UIC-Halsted	2018-05-31	W	3466
22366	40350	UIC-Halsted	2018-04-22	U	1398
22393	40350	UIC-Halsted	2018-05-27	U	1200
22579	40350	UIC-Halsted	2018-06-14	W	3670
22763	40350	UIC-Halsted	2018-04-07	A	2087
23199	40350	UIC-Halsted	2018-06-24	U	1414
23292	40350	UIC-Halsted	2018-06-06	W	3409
23351	40350	UIC-Halsted	2018-05-14	W	3284
23451	40350	UIC-Halsted	2018-05-07	W	5458
23760	40350	UIC-Halsted	2018-06-30	A	1555
23861	40350	UIC-Halsted	2018-04-20	W	6814
23973	40350	UIC-Halsted	2018-04-15	U	1224
24038	40350	UIC-Halsted	2018-05-04	W	6815
24070	40350	UIC-Halsted	2018-05-12	A	1697
24121	40350	UIC-Halsted	2018-04-21	A	1945
24176	40350	UIC-Halsted	2018-05-13	U	1281
24437	40350	UIC-Halsted	2018-06-07	W	3484
24506	40350	UIC-Halsted	2018-05-09	W	5746
24544	40350	UIC-Halsted	2018-04-09	W	6808
25012	40350	UIC-Halsted	2018-05-06	U	1494
25046	40350	UIC-Halsted	2018-06-01	W	3299
25131	40350	UIC-Halsted	2018-06-29	W	3668
25351	40350	UIC-Halsted	2018-06-26	W	3805
25702	40350	UIC-Halsted	2018-06-18	W	3424
25921	40350	UIC-Halsted	2018-05-17	W	3311
25990	40350	UIC-Halsted	2018-05-05	A	2132
26036	40350	UIC-Halsted	2018-04-18	W	7326
26415	40350	UIC-Halsted	2018-06-16	A	1666
26439	40350	UIC-Halsted	2018-05-25	W	3226
26702	40350	UIC-Halsted	2018-06-25	W	3638
26800	40350	UIC-Halsted	2018-05-08	W	5311
26806	40350	UIC-Halsted	2018-04-03	W	6800
26813	40350	UIC-Halsted	2018-06-28	W	3938
26827	40350	UIC-Halsted	2018-05-03	W	6718
26932	40350	UIC-Halsted	2018-06-10	U	1138
27028	40350	UIC-Halsted	2018-05-22	W	3446
27319	40350	UIC-Halsted	2018-04-02	W	6749
27375	40350	UIC-Halsted	2018-05-30	W	3237
27457	40350	UIC-Halsted	2018-04-23	W	6887
27471	40350	UIC-Halsted	2018-04-17	W	7098
27624	40350	UIC-Halsted	2018-04-01	U	1075
27634	40350	UIC-Halsted	2018-05-19	A	1442
27813	40350	UIC-Halsted	2018-04-10	W	7105
27927	40350	UIC-Halsted	2018-04-13	W	6840
28480	40350	UIC-Halsted	2018-05-28	U	1048
28615	40350	UIC-Halsted	2018-04-30	W	7057
28657	40350	UIC-Halsted	2018-04-27	W	6748
28710	40350	UIC-Halsted	2018-05-26	A	1570
28715	40350	UIC-Halsted	2018-04-28	A	2069
28750	40350	UIC-Halsted	2018-06-17	U	1271
28792	40350	UIC-Halsted	2018-06-05	W	3410
28869	40350	UIC-Halsted	2018-05-16	W	3433
28897	40350	UIC-Halsted	2018-06-23	A	1557
29484	40350	UIC-Halsted	2018-06-13	W	3612
29706	40350	UIC-Halsted	2018-05-23	W	3428
30048	40350	UIC-Halsted	2018-05-15	W	3609
30085	40350	UIC-Halsted	2018-05-24	W	3557
30178	40350	UIC-Halsted	2018-05-01	W	7177
30210	40350	UIC-Halsted	2018-05-02	W	7120
30259	40350	UIC-Halsted	2018-04-29	U	1576
31653	40350	UIC-Halsted	2018-07-01	U	1074
31654	40350	UIC-Halsted	2018-07-02	W	3457
31655	40350	UIC-Halsted	2018-07-03	W	3533
31656	40350	UIC-Halsted	2018-07-04	U	1114
31657	40350	UIC-Halsted	2018-07-05	W	3008
31658	40350	UIC-Halsted	2018-07-06	W	3140
31659	40350	UIC-Halsted	2018-07-07	A	1529
31660	40350	UIC-Halsted	2018-07-08	U	1243
31661	40350	UIC-Halsted	2018-07-09	W	3706
31662	40350	UIC-Halsted	2018-07-10	W	3836
31663	40350	UIC-Halsted	2018-07-11	W	4058
31664	40350	UIC-Halsted	2018-07-12	W	3990
31665	40350	UIC-Halsted	2018-07-13	W	3837
31666	40350	UIC-Halsted	2018-07-14	A	1427
31667	40350	UIC-Halsted	2018-07-15	U	1325
31668	40350	UIC-Halsted	2018-07-16	W	3738
31669	40350	UIC-Halsted	2018-07-17	W	3941
31670	40350	UIC-Halsted	2018-07-18	W	3938
31671	40350	UIC-Halsted	2018-07-19	W	3880
31672	40350	UIC-Halsted	2018-07-20	W	3665
31673	40350	UIC-Halsted	2018-07-21	A	1534
31674	40350	UIC-Halsted	2018-07-22	U	1246
31675	40350	UIC-Halsted	2018-07-23	W	3846
31676	40350	UIC-Halsted	2018-07-24	W	4065
31677	40350	UIC-Halsted	2018-07-25	W	4179
31678	40350	UIC-Halsted	2018-07-26	W	3977
31679	40350	UIC-Halsted	2018-07-27	W	3685
31680	40350	UIC-Halsted	2018-07-28	A	1556
31681	40350	UIC-Halsted	2018-07-29	U	1266
31682	40350	UIC-Halsted	2018-07-30	W	3462
31683	40350	UIC-Halsted	2018-07-31	W	3602
36127	40350	UIC-Halsted	2018-08-01	W	3802
36128	40350	UIC-Halsted	2018-08-02	W	3907
36129	40350	UIC-Halsted	2018-08-03	W	3571
36130	40350	UIC-Halsted	2018-08-04	A	1588
36131	40350	UIC-Halsted	2018-08-05	U	1303
36132	40350	UIC-Halsted	2018-08-06	W	3270
36133	40350	UIC-Halsted	2018-08-07	W	3311
36134	40350	UIC-Halsted	2018-08-08	W	3452
36135	40350	UIC-Halsted	2018-08-09	W	3377
36136	40350	UIC-Halsted	2018-08-10	W	3296
36137	40350	UIC-Halsted	2018-08-11	A	1498
36138	40350	UIC-Halsted	2018-08-12	U	1177
36139	40350	UIC-Halsted	2018-08-13	W	3103
36140	40350	UIC-Halsted	2018-08-14	W	3163
36141	40350	UIC-Halsted	2018-08-15	W	3174
36142	40350	UIC-Halsted	2018-08-16	W	3376
36143	40350	UIC-Halsted	2018-08-17	W	3097
36144	40350	UIC-Halsted	2018-08-18	A	1558
36145	40350	UIC-Halsted	2018-08-19	U	1241
36146	40350	UIC-Halsted	2018-08-20	W	3186
36147	40350	UIC-Halsted	2018-08-21	W	3201
36148	40350	UIC-Halsted	2018-08-22	W	3936
36149	40350	UIC-Halsted	2018-08-23	W	4283
36150	40350	UIC-Halsted	2018-08-24	W	4288
36151	40350	UIC-Halsted	2018-08-25	A	3151
36152	40350	UIC-Halsted	2018-08-26	U	2622
36153	40350	UIC-Halsted	2018-08-27	W	8924
36154	40350	UIC-Halsted	2018-08-28	W	8836
36155	40350	UIC-Halsted	2018-08-29	W	9164
36156	40350	UIC-Halsted	2018-08-30	W	9159
36157	40350	UIC-Halsted	2018-08-31	W	8408
40558	40350	UIC-Halsted	2018-09-01	A	1945
40559	40350	UIC-Halsted	2018-09-02	U	1736
40560	40350	UIC-Halsted	2018-09-03	U	1377
40561	40350	UIC-Halsted	2018-09-04	W	8778
40562	40350	UIC-Halsted	2018-09-05	W	9225
40563	40350	UIC-Halsted	2018-09-06	W	8984
40564	40350	UIC-Halsted	2018-09-07	W	8585
40565	40350	UIC-Halsted	2018-09-08	A	2515
40566	40350	UIC-Halsted	2018-09-09	U	1678
40567	40350	UIC-Halsted	2018-09-10	W	9097
40568	40350	UIC-Halsted	2018-09-11	W	9029
40569	40350	UIC-Halsted	2018-09-12	W	9375
40570	40350	UIC-Halsted	2018-09-13	W	9208
40571	40350	UIC-Halsted	2018-09-14	W	8983
40572	40350	UIC-Halsted	2018-09-15	A	2497
40573	40350	UIC-Halsted	2018-09-16	U	1647
40574	40350	UIC-Halsted	2018-09-17	W	9157
40575	40350	UIC-Halsted	2018-09-18	W	8905
40576	40350	UIC-Halsted	2018-09-19	W	9104
40577	40350	UIC-Halsted	2018-09-20	W	9067
40578	40350	UIC-Halsted	2018-09-21	W	8569
40579	40350	UIC-Halsted	2018-09-22	A	2868
40580	40350	UIC-Halsted	2018-09-23	U	1772
40581	40350	UIC-Halsted	2018-09-24	W	9155
40582	40350	UIC-Halsted	2018-09-25	W	9078
40583	40350	UIC-Halsted	2018-09-26	W	9270
40584	40350	UIC-Halsted	2018-09-27	W	9074
40585	40350	UIC-Halsted	2018-09-28	W	8655
40586	40350	UIC-Halsted	2018-09-29	A	2760
40587	40350	UIC-Halsted	2018-09-30	U	1826
44925	40350	UIC-Halsted	2018-10-01	W	9026
44926	40350	UIC-Halsted	2018-10-02	W	8966
44927	40350	UIC-Halsted	2018-10-03	W	9378
44928	40350	UIC-Halsted	2018-10-04	W	9041
44929	40350	UIC-Halsted	2018-10-05	W	8276
44930	40350	UIC-Halsted	2018-10-06	A	2495
44931	40350	UIC-Halsted	2018-10-07	U	7061
44932	40350	UIC-Halsted	2018-10-08	W	8455
44933	40350	UIC-Halsted	2018-10-09	W	9086
44934	40350	UIC-Halsted	2018-10-10	W	9080
44935	40350	UIC-Halsted	2018-10-11	W	8911
44936	40350	UIC-Halsted	2018-10-12	W	8549
44937	40350	UIC-Halsted	2018-10-13	A	2545
44938	40350	UIC-Halsted	2018-10-14	U	1890
44939	40350	UIC-Halsted	2018-10-15	W	8856
44940	40350	UIC-Halsted	2018-10-16	W	8949
44941	40350	UIC-Halsted	2018-10-17	W	9195
44942	40350	UIC-Halsted	2018-10-18	W	9206
44943	40350	UIC-Halsted	2018-10-19	W	8567
44944	40350	UIC-Halsted	2018-10-20	A	2642
44945	40350	UIC-Halsted	2018-10-21	U	1729
44946	40350	UIC-Halsted	2018-10-22	W	8787
44947	40350	UIC-Halsted	2018-10-23	W	8800
44948	40350	UIC-Halsted	2018-10-24	W	9000
44949	40350	UIC-Halsted	2018-10-25	W	8856
44950	40350	UIC-Halsted	2018-10-26	W	8505
44951	40350	UIC-Halsted	2018-10-27	A	2542
44952	40350	UIC-Halsted	2018-10-28	U	1578
44953	40350	UIC-Halsted	2018-10-29	W	8722
44954	40350	UIC-Halsted	2018-10-30	W	8703
44955	40350	UIC-Halsted	2018-10-31	W	8982
49269	40350	UIC-Halsted	2018-11-01	W	8727
49270	40350	UIC-Halsted	2018-11-02	W	8611
49271	40350	UIC-Halsted	2018-11-03	A	2494
49272	40350	UIC-Halsted	2018-11-04	U	1959
49273	40350	UIC-Halsted	2018-11-05	W	8815
49274	40350	UIC-Halsted	2018-11-06	W	8648
49275	40350	UIC-Halsted	2018-11-07	W	8913
49276	40350	UIC-Halsted	2018-11-08	W	8609
49277	40350	UIC-Halsted	2018-11-09	W	8131
49278	40350	UIC-Halsted	2018-11-10	A	2300
49279	40350	UIC-Halsted	2018-11-11	U	1581
49280	40350	UIC-Halsted	2018-11-12	W	8047
49281	40350	UIC-Halsted	2018-11-13	W	8482
49282	40350	UIC-Halsted	2018-11-14	W	8784
49283	40350	UIC-Halsted	2018-11-15	W	8483
49284	40350	UIC-Halsted	2018-11-16	W	8464
49285	40350	UIC-Halsted	2018-11-17	A	2759
49286	40350	UIC-Halsted	2018-11-18	U	1789
49287	40350	UIC-Halsted	2018-11-19	W	8342
49288	40350	UIC-Halsted	2018-11-20	W	8037
49289	40350	UIC-Halsted	2018-11-21	W	6752
49290	40350	UIC-Halsted	2018-11-22	U	1170
49291	40350	UIC-Halsted	2018-11-23	W	1520
49292	40350	UIC-Halsted	2018-11-24	A	1433
49293	40350	UIC-Halsted	2018-11-25	U	1219
49294	40350	UIC-Halsted	2018-11-26	W	6709
49295	40350	UIC-Halsted	2018-11-27	W	8184
49296	40350	UIC-Halsted	2018-11-28	W	8641
49297	40350	UIC-Halsted	2018-11-29	W	8591
49298	40350	UIC-Halsted	2018-11-30	W	8192
53646	40350	UIC-Halsted	2018-12-01	A	2154
53647	40350	UIC-Halsted	2018-12-02	U	1472
53648	40350	UIC-Halsted	2018-12-03	W	8319
53649	40350	UIC-Halsted	2018-12-04	W	8128
53650	40350	UIC-Halsted	2018-12-05	W	8326
53651	40350	UIC-Halsted	2018-12-06	W	7993
53652	40350	UIC-Halsted	2018-12-07	W	7729
53653	40350	UIC-Halsted	2018-12-08	A	2153
53654	40350	UIC-Halsted	2018-12-09	U	1491
53655	40350	UIC-Halsted	2018-12-10	W	6098
53656	40350	UIC-Halsted	2018-12-11	W	6143
53657	40350	UIC-Halsted	2018-12-12	W	5932
53658	40350	UIC-Halsted	2018-12-13	W	5912
