stationname	date	rides
85	Damen/Milwaukee	2017-12-24	1552
523	Damen/Milwaukee	2017-12-28	3817
582	Damen/Milwaukee	2017-12-16	4584
1258	Damen/Milwaukee	2017-12-27	3383
1674	Damen/Milwaukee	2017-12-29	4174
1686	Damen/Milwaukee	2017-12-19	6572
1743	Damen/Milwaukee	2017-12-11	6167
1934	Damen/Milwaukee	2017-12-08	6741
2378	Damen/Milwaukee	2017-12-20	6312
2417	Damen/Milwaukee	2017-12-21	6250
2475	Damen/Milwaukee	2017-12-13	6089
2504	Damen/Milwaukee	2017-12-23	3295
2561	Damen/Milwaukee	2017-12-02	4952
2665	Damen/Milwaukee	2017-12-01	7448
2725	Damen/Milwaukee	2017-12-07	6441
2804	Damen/Milwaukee	2017-12-06	6334
2827	Damen/Milwaukee	2017-12-31	2255
2842	Damen/Milwaukee	2017-12-03	3702
2933	Damen/Milwaukee	2017-12-25	614
3215	Damen/Milwaukee	2017-12-15	6498
3294	Damen/Milwaukee	2017-12-18	6245
3438	Damen/Milwaukee	2017-12-04	6330
3527	Damen/Milwaukee	2017-12-10	3152
3837	Damen/Milwaukee	2017-12-22	5533
4038	Damen/Milwaukee	2017-12-09	4225
4040	Damen/Milwaukee	2017-12-05	6217
4110	Damen/Milwaukee	2017-12-26	2256
4177	Damen/Milwaukee	2017-12-12	6165
4302	Damen/Milwaukee	2017-12-30	2687
4466	Damen/Milwaukee	2017-12-14	6400
4480	Damen/Milwaukee	2017-12-17	3166
4747	Damen/Milwaukee	2018-03-09	6598
4843	Damen/Milwaukee	2018-02-01	6024
5576	Damen/Milwaukee	2018-01-14	2470
5907	Damen/Milwaukee	2018-01-11	6094
6061	Damen/Milwaukee	2018-03-06	6242
6182	Damen/Milwaukee	2018-02-27	6297
6183	Damen/Milwaukee	2018-03-28	6290
6267	Damen/Milwaukee	2018-01-22	5929
6450	Damen/Milwaukee	2018-01-21	2629
6471	Damen/Milwaukee	2018-02-08	6060
6632	Damen/Milwaukee	2018-01-30	5855
6694	Damen/Milwaukee	2018-01-08	5845
6735	Damen/Milwaukee	2018-03-17	6968
6984	Damen/Milwaukee	2018-03-01	6111
7120	Damen/Milwaukee	2018-02-03	3550
7433	Damen/Milwaukee	2018-02-15	6330
7501	Damen/Milwaukee	2018-01-10	5923
7955	Damen/Milwaukee	2018-03-07	6551
8057	Damen/Milwaukee	2018-01-04	5259
8202	Damen/Milwaukee	2018-01-18	6140
8482	Damen/Milwaukee	2018-03-04	3223
8606	Damen/Milwaukee	2018-01-23	6143
8638	Damen/Milwaukee	2018-03-24	3847
8791	Damen/Milwaukee	2018-01-03	5221
8810	Damen/Milwaukee	2018-02-02	5975
8879	Damen/Milwaukee	2018-02-05	5418
9019	Damen/Milwaukee	2018-01-20	4917
9068	Damen/Milwaukee	2018-02-28	6337
9100	Damen/Milwaukee	2018-03-02	6633
9266	Damen/Milwaukee	2018-01-15	4162
9280	Damen/Milwaukee	2018-01-24	6194
9365	Damen/Milwaukee	2018-02-21	6333
9511	Damen/Milwaukee	2018-02-14	6495
9617	Damen/Milwaukee	2018-03-18	3881
9681	Damen/Milwaukee	2018-02-12	5939
10124	Damen/Milwaukee	2018-02-06	5891
10156	Damen/Milwaukee	2018-02-18	3075
10729	Damen/Milwaukee	2018-01-12	6027
10739	Damen/Milwaukee	2018-02-11	2879
10847	Damen/Milwaukee	2018-03-08	6424
10851	Damen/Milwaukee	2018-01-19	6328
10912	Damen/Milwaukee	2018-02-10	3896
10977	Damen/Milwaukee	2018-01-06	2876
11160	Damen/Milwaukee	2018-01-29	5793
11293	Damen/Milwaukee	2018-03-30	6431
11443	Damen/Milwaukee	2018-03-21	6480
11512	Damen/Milwaukee	2018-03-15	6822
11570	Damen/Milwaukee	2018-02-19	4785
11737	Damen/Milwaukee	2018-02-16	6637
11770	Damen/Milwaukee	2018-02-13	6280
12013	Damen/Milwaukee	2018-01-07	2272
12077	Damen/Milwaukee	2018-03-03	4454
