stationname	date	rides
61	O'Hare Airport	2017-12-26	11094
539	O'Hare Airport	2017-12-01	12447
672	O'Hare Airport	2017-12-11	10136
858	O'Hare Airport	2017-12-12	9406
1063	O'Hare Airport	2017-12-25	7244
1278	O'Hare Airport	2017-12-18	10813
1356	O'Hare Airport	2017-12-29	10562
1544	O'Hare Airport	2017-12-22	9493
1705	O'Hare Airport	2017-12-31	7361
1954	O'Hare Airport	2017-12-16	8450
1994	O'Hare Airport	2017-12-10	8994
2104	O'Hare Airport	2017-12-07	10554
2122	O'Hare Airport	2017-12-24	6777
2369	O'Hare Airport	2017-12-15	11057
2426	O'Hare Airport	2017-12-03	9308
2691	O'Hare Airport	2017-12-19	10193
2938	O'Hare Airport	2017-12-27	11154
3035	O'Hare Airport	2017-12-02	8542
3211	O'Hare Airport	2017-12-06	9540
3250	O'Hare Airport	2017-12-28	11141
3666	O'Hare Airport	2017-12-17	9018
3709	O'Hare Airport	2017-12-14	10629
3716	O'Hare Airport	2017-12-30	8847
3737	O'Hare Airport	2017-12-21	9558
3805	O'Hare Airport	2017-12-13	9306
3824	O'Hare Airport	2017-12-04	9785
3859	O'Hare Airport	2017-12-20	9799
3958	O'Hare Airport	2017-12-09	8033
3969	O'Hare Airport	2017-12-08	11875
4335	O'Hare Airport	2017-12-23	7578
4395	O'Hare Airport	2017-12-05	9669
4677	O'Hare Airport	2018-02-20	10017
4744	O'Hare Airport	2018-03-22	10836
4846	O'Hare Airport	2018-03-28	10298
5090	O'Hare Airport	2018-01-12	8264
5206	O'Hare Airport	2018-02-04	7315
5349	O'Hare Airport	2018-01-07	7228
5666	O'Hare Airport	2018-01-25	9090
5715	O'Hare Airport	2018-01-16	7774
5851	O'Hare Airport	2018-03-21	9427
5866	O'Hare Airport	2018-01-14	6114
5914	O'Hare Airport	2018-01-04	8278
5991	O'Hare Airport	2018-02-12	10257
6141	O'Hare Airport	2018-03-01	9506
6229	O'Hare Airport	2018-02-26	10061
6324	O'Hare Airport	2018-03-16	13995
6596	O'Hare Airport	2018-01-08	9362
6656	O'Hare Airport	2018-02-16	11521
7210	O'Hare Airport	2018-03-07	9193
7216	O'Hare Airport	2018-02-17	7786
7577	O'Hare Airport	2018-03-11	9449
7805	O'Hare Airport	2018-01-01	8226
7985	O'Hare Airport	2018-02-14	8724
8369	O'Hare Airport	2018-01-11	7996
8601	O'Hare Airport	2018-03-15	12314
8804	O'Hare Airport	2018-02-22	9912
8822	O'Hare Airport	2018-01-18	7490
9301	O'Hare Airport	2018-03-09	10942
9519	O'Hare Airport	2018-03-05	9879
9530	O'Hare Airport	2018-02-09	9127
9539	O'Hare Airport	2018-03-24	8995
9668	O'Hare Airport	2018-02-10	7658
9869	O'Hare Airport	2018-03-04	8795
10002	O'Hare Airport	2018-01-22	9193
10109	O'Hare Airport	2018-02-23	10450
10142	O'Hare Airport	2018-03-03	8166
10163	O'Hare Airport	2018-02-25	8639
10866	O'Hare Airport	2018-02-07	8148
10902	O'Hare Airport	2018-03-23	11488
10960	O'Hare Airport	2018-01-05	8561
10971	O'Hare Airport	2018-01-19	8293
11224	O'Hare Airport	2018-02-24	7458
11640	O'Hare Airport	2018-03-02	10498
11819	O'Hare Airport	2018-03-19	10574
11863	O'Hare Airport	2018-01-30	8433
11875	O'Hare Airport	2018-03-06	9429
11914	O'Hare Airport	2018-03-14	9997
11976	O'Hare Airport	2018-01-06	6790
12020	O'Hare Airport	2018-03-12	10582
12275	O'Hare Airport	2018-02-27	9074
12318	O'Hare Airport	2018-02-08	10129
12409	O'Hare Airport	2018-01-28	8122
12531	O'Hare Airport	2018-02-19	10325
12583	O'Hare Airport	2018-03-31	7233
12587	O'Hare Airport	2018-02-03	6994
12664	O'Hare Airport	2018-03-30	10297
12775	O'Hare Airport	2018-03-13	9166
12837	O'Hare Airport	2018-01-15	7684
13298	O'Hare Airport	2018-03-08	10088
13388	O'Hare Airport	2018-03-27	10602
13438	O'Hare Airport	2018-01-02	9835
