stationname	date	rides
75	UIC-Halsted	2017-12-08	7462
114	UIC-Halsted	2017-12-30	837
398	UIC-Halsted	2017-12-13	5828
569	UIC-Halsted	2017-12-11	5614
579	UIC-Halsted	2017-12-20	3072
760	UIC-Halsted	2017-12-01	7718
959	UIC-Halsted	2017-12-28	1575
1031	UIC-Halsted	2017-12-04	7800
1187	UIC-Halsted	2017-12-19	3306
1376	UIC-Halsted	2017-12-06	7813
1471	UIC-Halsted	2017-12-29	1472
1493	UIC-Halsted	2017-12-17	1321
1567	UIC-Halsted	2017-12-25	369
1852	UIC-Halsted	2017-12-15	5217
1894	UIC-Halsted	2017-12-27	1347
2054	UIC-Halsted	2017-12-05	7731
2326	UIC-Halsted	2017-12-02	2340
2534	UIC-Halsted	2017-12-31	800
2884	UIC-Halsted	2017-12-14	5493
2975	UIC-Halsted	2017-12-09	1947
2996	UIC-Halsted	2017-12-22	2334
3006	UIC-Halsted	2017-12-24	659
3374	UIC-Halsted	2017-12-07	7661
3486	UIC-Halsted	2017-12-18	3216
3646	UIC-Halsted	2017-12-16	1915
4074	UIC-Halsted	2017-12-12	5553
4188	UIC-Halsted	2017-12-26	1019
4191	UIC-Halsted	2017-12-23	997
4225	UIC-Halsted	2017-12-10	1285
4242	UIC-Halsted	2017-12-21	2718
4423	UIC-Halsted	2017-12-03	1645
4610	UIC-Halsted	2018-03-07	7467
4645	UIC-Halsted	2018-02-04	1085
4694	UIC-Halsted	2018-02-13	7493
4842	UIC-Halsted	2018-03-04	1397
5089	UIC-Halsted	2018-03-08	7258
5186	UIC-Halsted	2018-02-02	6829
5329	UIC-Halsted	2018-01-20	2216
5465	UIC-Halsted	2018-01-08	2800
5468	UIC-Halsted	2018-03-23	6685
5499	UIC-Halsted	2018-02-28	7501
5552	UIC-Halsted	2018-03-01	7118
5948	UIC-Halsted	2018-03-11	1376
6046	UIC-Halsted	2018-01-18	7420
6155	UIC-Halsted	2018-02-24	2185
6162	UIC-Halsted	2018-03-20	7017
6252	UIC-Halsted	2018-02-21	7634
6330	UIC-Halsted	2018-01-10	3168
6744	UIC-Halsted	2018-01-03	2249
6752	UIC-Halsted	2018-03-25	1430
6793	UIC-Halsted	2018-03-19	7067
6808	UIC-Halsted	2018-01-14	1218
6827	UIC-Halsted	2018-03-09	6909
6869	UIC-Halsted	2018-02-03	1769
7083	UIC-Halsted	2018-02-09	3640
7183	UIC-Halsted	2018-01-22	7505
7504	UIC-Halsted	2018-02-20	7203
7520	UIC-Halsted	2018-03-10	2061
7679	UIC-Halsted	2018-03-27	3200
7712	UIC-Halsted	2018-03-30	2701
7848	UIC-Halsted	2018-01-25	7505
7859	UIC-Halsted	2018-03-12	7260
8525	UIC-Halsted	2018-03-17	3027
8632	UIC-Halsted	2018-03-28	3198
8648	UIC-Halsted	2018-02-18	1362
9131	UIC-Halsted	2018-03-18	1532
9695	UIC-Halsted	2018-02-05	6982
9747	UIC-Halsted	2018-02-08	7342
10097	UIC-Halsted	2018-02-19	6488
10305	UIC-Halsted	2018-03-29	3085
10476	UIC-Halsted	2018-01-15	2004
10536	UIC-Halsted	2018-03-22	7000
10853	UIC-Halsted	2018-01-13	1361
10936	UIC-Halsted	2018-01-30	7324
11497	UIC-Halsted	2018-02-07	7438
11698	UIC-Halsted	2018-01-16	7476
11767	UIC-Halsted	2018-02-15	7412
11919	UIC-Halsted	2018-03-21	7270
11955	UIC-Halsted	2018-01-07	763
12168	UIC-Halsted	2018-03-05	7054
12193	UIC-Halsted	2018-03-03	1978
12226	UIC-Halsted	2018-03-31	1399
12230	UIC-Halsted	2018-02-01	7382
12330	UIC-Halsted	2018-01-21	1293
12348	UIC-Halsted	2018-02-22	7328
12817	UIC-Halsted	2018-02-14	7881
13125	UIC-Halsted	2018-03-15	7326
13244	UIC-Halsted	2018-03-14	7550
13412	UIC-Halsted	2018-02-26	7193
13650	UIC-Halsted	2018-01-26	7355
13712	UIC-Halsted	2018-01-23	7508
13790	UIC-Halsted	2018-02-25	1468
13918	UIC-Halsted	2018-02-12	7328
14192	UIC-Halsted	2018-02-10	1861
14451	UIC-Halsted	2018-03-02	6799
14726	UIC-Halsted	2018-01-09	3019
14844	UIC-Halsted	2018-03-13	7299
14948	UIC-Halsted	2018-02-17	1976
15138	UIC-Halsted	2018-02-27	7262
15145	UIC-Halsted	2018-01-12	2845
15235	UIC-Halsted	2018-02-23	7036
15260	UIC-Halsted	2018-01-28	1276
15299	UIC-Halsted	2018-01-31	7657
15336	UIC-Halsted	2018-01-29	7366
15359	UIC-Halsted	2018-01-19	7238
15431	UIC-Halsted	2018-01-04	2293
15461	UIC-Halsted	2018-03-24	1921
15466	UIC-Halsted	2018-01-02	1936
15491	UIC-Halsted	2018-01-27	2073
15545	UIC-Halsted	2018-01-05	2209
15693	UIC-Halsted	2018-01-17	7635
15822	UIC-Halsted	2018-03-26	3007
16254	UIC-Halsted	2018-02-11	1231
16326	UIC-Halsted	2018-03-16	7166
16358	UIC-Halsted	2018-03-06	7222
16415	UIC-Halsted	2018-01-24	7619
16520	UIC-Halsted	2018-01-01	657
17096	UIC-Halsted	2018-01-06	998
17333	UIC-Halsted	2018-02-16	7284
17394	UIC-Halsted	2018-02-06	7290
17488	UIC-Halsted	2018-01-11	3024
17599	UIC-Halsted	2018-04-25	7331
17888	UIC-Halsted	2018-05-20	1094
18078	UIC-Halsted	2018-06-04	3195
18108	UIC-Halsted	2018-04-11	7308
18357	UIC-Halsted	2018-04-12	7150
18377	UIC-Halsted	2018-06-21	3480
18506	UIC-Halsted	2018-05-18	3089
18538	UIC-Halsted	2018-04-24	7052
18613	UIC-Halsted	2018-04-06	6692
18647	UIC-Halsted	2018-06-27	3990
18828	UIC-Halsted	2018-06-08	3605
18896	UIC-Halsted	2018-04-04	7153
19147	UIC-Halsted	2018-06-20	3986
19183	UIC-Halsted	2018-06-11	3310
19516	UIC-Halsted	2018-04-14	1999
19563	UIC-Halsted	2018-04-08	1391
19658	UIC-Halsted	2018-04-16	6789
20007	UIC-Halsted	2018-06-15	3401
20107	UIC-Halsted	2018-06-22	3429
20224	UIC-Halsted	2018-06-09	1837
20594	UIC-Halsted	2018-06-12	3688
20848	UIC-Halsted	2018-05-11	5355
21042	UIC-Halsted	2018-05-10	5448
21154	UIC-Halsted	2018-05-29	3224
21268	UIC-Halsted	2018-06-02	1499
21337	UIC-Halsted	2018-05-21	3177
21395	UIC-Halsted	2018-04-05	6915
21537	UIC-Halsted	2018-04-26	7155
21562	UIC-Halsted	2018-06-03	1177
21678	UIC-Halsted	2018-06-19	3849
21742	UIC-Halsted	2018-04-19	7158
22174	UIC-Halsted	2018-05-31	3466
22366	UIC-Halsted	2018-04-22	1398
22393	UIC-Halsted	2018-05-27	1200
22579	UIC-Halsted	2018-06-14	3670
22763	UIC-Halsted	2018-04-07	2087
23199	UIC-Halsted	2018-06-24	1414
23292	UIC-Halsted	2018-06-06	3409
23351	UIC-Halsted	2018-05-14	3284
23451	UIC-Halsted	2018-05-07	5458
23760	UIC-Halsted	2018-06-30	1555
23861	UIC-Halsted	2018-04-20	6814
23973	UIC-Halsted	2018-04-15	1224
24038	UIC-Halsted	2018-05-04	6815
24070	UIC-Halsted	2018-05-12	1697
24121	UIC-Halsted	2018-04-21	1945
24176	UIC-Halsted	2018-05-13	1281
24437	UIC-Halsted	2018-06-07	3484
24506	UIC-Halsted	2018-05-09	5746
24544	UIC-Halsted	2018-04-09	6808
25012	UIC-Halsted	2018-05-06	1494
25046	UIC-Halsted	2018-06-01	3299
25131	UIC-Halsted	2018-06-29	3668
25351	UIC-Halsted	2018-06-26	3805
25702	UIC-Halsted	2018-06-18	3424
25921	UIC-Halsted	2018-05-17	3311
25990	UIC-Halsted	2018-05-05	2132
26036	UIC-Halsted	2018-04-18	7326
26415	UIC-Halsted	2018-06-16	1666
26439	UIC-Halsted	2018-05-25	3226
26702	UIC-Halsted	2018-06-25	3638
26800	UIC-Halsted	2018-05-08	5311
26806	UIC-Halsted	2018-04-03	6800
26813	UIC-Halsted	2018-06-28	3938
26827	UIC-Halsted	2018-05-03	6718
26932	UIC-Halsted	2018-06-10	1138
27028	UIC-Halsted	2018-05-22	3446
27319	UIC-Halsted	2018-04-02	6749
27375	UIC-Halsted	2018-05-30	3237
27457	UIC-Halsted	2018-04-23	6887
27471	UIC-Halsted	2018-04-17	7098
27624	UIC-Halsted	2018-04-01	1075
27634	UIC-Halsted	2018-05-19	1442
27813	UIC-Halsted	2018-04-10	7105
27927	UIC-Halsted	2018-04-13	6840
28480	UIC-Halsted	2018-05-28	1048
28615	UIC-Halsted	2018-04-30	7057
28657	UIC-Halsted	2018-04-27	6748
28710	UIC-Halsted	2018-05-26	1570
28715	UIC-Halsted	2018-04-28	2069
28750	UIC-Halsted	2018-06-17	1271
28792	UIC-Halsted	2018-06-05	3410
28869	UIC-Halsted	2018-05-16	3433
28897	UIC-Halsted	2018-06-23	1557
29484	UIC-Halsted	2018-06-13	3612
29706	UIC-Halsted	2018-05-23	3428
30048	UIC-Halsted	2018-05-15	3609
30085	UIC-Halsted	2018-05-24	3557
30178	UIC-Halsted	2018-05-01	7177
30210	UIC-Halsted	2018-05-02	7120
30259	UIC-Halsted	2018-04-29	1576
31653	UIC-Halsted	2018-07-01	1074
31654	UIC-Halsted	2018-07-02	3457
31655	UIC-Halsted	2018-07-03	3533
31656	UIC-Halsted	2018-07-04	1114
31657	UIC-Halsted	2018-07-05	3008
31658	UIC-Halsted	2018-07-06	3140
31659	UIC-Halsted	2018-07-07	1529
31660	UIC-Halsted	2018-07-08	1243
31661	UIC-Halsted	2018-07-09	3706
31662	UIC-Halsted	2018-07-10	3836
31663	UIC-Halsted	2018-07-11	4058
